"id","geom","borough","block","lot","cd","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcent","healtharea","sanitboro","sanitdistr","sanitsub","address","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exemptland","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","bbl","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_fla","pfirm15_fl","version","mappluto_f","shape_leng","shape_area"
939,"01060000203E910100010000000103000000010000003100000080D712B28EF22E4100B8408244120841805227607DED2E410052B81E5C0B084100AB3E970AED2E41008CDB68650908410020D22FC6EC2E410040C6DC4204084180B43738EDEC2E4100AACFD568020841806ABC343AEF2E4100EAB7AF8B05084100B7D10043EF2E410096218E2105084100287E0C81E92E4100F8C26448FD074180923A4167E92E410028A08958FE074180AF94E5D9E92E41006007CEF4FE074180E17A94A2E92E41006891ED7901084180C5FEB26DE92E4100D044D831010841001A51DA52E92E4100BEC1174D02084180DFBE0E43EA2E410026E48394030841809CA263EDE92E410032C4B1A107084100D9CEF7EDE92E4100B6847CA207084180B6F3BD33EA2E4100E2C7980108084180EB513876EA2E4100107A365C08084180764F1EBBEA2E4100C05B20BA080841808D976EFEEA2E41004082E21509084100BADACA43EB2E4100B22E6E7409084100575B3187EB2E41003A014DD009084100F6975DCCEB2E4100508D972E0A084100C3646A0EEC2E41002CD49A880A0841803A010D55EC2E4100FA0FE9E80A0841001A51DA97EC2E4100FE65F7430B0841808104C5DDEC2E4100CAA145A30B08418030992A1DED2E4100C420B0F90B0841001B9E5E58ED2E41006688634A0C08418036AB3E98ED2E4100DAACFAA10C084100F31F12CEED2E410062C3D3EA0C0841003411B606EE2E4100BA6B09380D084100772DE148EE2E41005A643B920D08418013D0447CEE2E4100F01648D80D084100560EADB4EE2E4100C4D32B250E084100A9A44EF5EE2E41003867447D0E0841802A18152AEF2E410058A835C50E084100371A8060EF2E4100AEB6620F0F084100D7A3F0A2EF2E4100B27BF2690F08410043AD29DAEF2E410034EF38B50F08410045D8B00DF02E4100B4C876FB0F0841807D1D7843F02E4100A69BC44410084100B459757BF02E41002C871691100841008C4A6ACDF02E41006007CE00110841806054D201F12E4100A4703D4811084180006F4130F12E41009465888711084100A7E80864F12E41009AE61DCE11084180E5D02282F22E4100E2361A5413084180D712B28EF22E4100B8408244120841","QN",3619,3,405,"613.01","2001","24",30,11385,"L135",104,46,1700,"4","05","2D","66-99 FRESH POND ROAD","R6B","M1-1","","","C1-4","","","","","","Y","T9","07",1,"X","NYC TRANSIT",183608,134000,134000,0,0,0,0,0,0,134000,"2",2,1,0,0,33,776,500,268,"","0","Y","5","5",2740500,4326750,2740500,4326750,1959,0,0,"","",0.73,2,0,2,4,4036190003,0,"061301",1013200,196770,"13d","","403 071","41901","",0,"","1","","","17V1.1",0,3810.65016236,155380.693058
2098,"01060000203E910100010000000103000000010000000800000000FCA9F1D7FB2E41008A416073B60A41002A3A5237FB2E4100E86A2B86B50A4100A7E80886FA2E41000AD7A383C70A4100AE47A1ABFA2E41008CDB68F8C60A4180559F2BD3FA2E4100B0946553C60A4100B9FC47F9FA2E410046477294C50A41008195830AFB2E41001EA7E815C50A4100FCA9F1D7FB2E41008A416073B60A41","QN",926,200,401,"329","","30",22,11370,"E316",115,42,620,"4","03","1D","FLUSHING AVENUE","M1-1","","","","","","","","","","N","T9","07",0,"C","NYC DSBS",37750,0,0,0,0,0,0,0,0,0,"7",0,0,0,0,88.5,323.42,0,0,"","0","Y","5","5",855450,855450,855450,855450,0,0,0,"","",0,0,1,2.4,4,4009260200,0,"0329",0,0,"9c","","410 093","40701","",0,"","1","","","17V1.1",0,1250.26952314,36259.2019814
20591,"01060000203E910100010000000103000000010000000F0000008044696F6B5E2F4100585BB1039A0A4180A3017C9B5E2F4100C6DCB5AC9A0A410087A717B25E2F4100BADA8AF59A0A4100A470FDD65E2F41008AFD656C9B0A4100B37B320B5F2F4100EC9E3C059C0A41805149DD225F2F410052DA1B329C0A4180D8F0B4BF5F2F4100C6FEB20A9D0A4180FC187391602F41003CBD52539E0A41006900AF65612F410062A1D6B49F0A418026C246ED612F4100FAA067A2A00A4100083D5B29622F410096D409C4A00A4100F2414F56622F41002EFF21D7A00A4180F3FDD49C632F4100684469CF940A41803C2C54A35F2F41001A51DA908E0A418044696F6B5E2F4100585BB1039A0A41","QN",1790,1,407,"383.01","1003","25",21,11368,"L129",110,43,1200,"4","07","","32-11 HARPER STREET","M3-1","","","","","","","","","","N","T9","07",0,"C","NYC DEPT OF HIGHWAYS",243850,85050,85050,0,14925,0,70125,0,0,0,"2",7,1,0,1,404,550,575.83,100.83,"","0","Y","3","5",3643200,6014250,3643200,6014250,1937,0,0,"","",0.35,0,2,0,4,4017900001,0,"038301",1028220,217856,"10a","","419 030","41004","",0,"","1","1","1","17V1.1",0,1916.03572742,232312.173643
23150,"01060000203E910100010000000103000000010000003100000000E86AAB5BCE2F41007EAEB6B9CA074180D100DE73CE2F4100CAC34212CA074100A4DF3EA2CE2F4100166A4DD1C807410057EC2FF5CE2F4100AA825193C6074180D0B3D928CF2F4100141DC92DC50741001EA7688CCF2F41006007CE7CC207418016D90EBDCF2F41005296212CC1074180D5E72AF2CF2F4100742497BCBF07410032E6AE0DD02F41007AA52CFEBE0741009F3C6C2FD02F41002E90A087BD07410067D56730D02F41007EAEB67CBD074100E78CA843D02F4100782D21E2BA0741002428BE54D02F410076E09C92B8074180E1E95563D02F4100D26F5F99B607418006F096D0D02F410098BB9676B4074100A167735AD02F4100DE9387A5B20741801CEBA258D02F41004082E2B2B20741801CEB6243D02F4100EE5A424CB307418088631D2FD02F4100CA54C1DEB30741801E16AA19D02F410016FBCB79B4074100151D8903D02F4100363CBD19B5074100ADFA1CD3CF2F4100C8BAB877B6074180E61DE7BACF2F4100A245B626B70741807BF2B0A2CF2F41007CD0B3D5B7074180B5157B8ACF2F410032C4B184B807418081044572CF2F410032E6AE33B9074180ED7C7F58CF2F410090C2F5EDB90741004FAFD441CF2F4100CCEEC991BA074100D26FDF27CF2F41008CDB684DBB0741009E5EA90FCF2F410042CF66FCBB074180C95441F9CE2F41003E79589EBC0741003A230AE0CE2F41009A999954BD07410090A0B8C8CE2F4100C03923FDBD074100CAC382B0CE2F4100782D21ACBE074180C1176698CE2F41001E38675ABF074180B6F37D7FCE2F410068226C0EC00741804BC84767CE2F41001E166ABDC007410085EB114FCE2F4100D409686CC107410042CFA636CE2F410066F7E41CC207410045D8701ECE2F41001CEBE2CBC20741000000C0EDCD2F4100F241CF2BC4074180051254BDCD2F41005E29CB89C507410067D5E78CCD2F4100143FC6E7C6074100CAC3026BCD2F41008026C2DCC7074100DDB504F6CC2F410088855A2ACB0741801D382752CD2F41004260E536CD074180D712727ECD2F410032E6AEC9CD074100E25897D0CD2F4100EA26317CCE074100E86AAB5BCE2F41007EAEB6B9CA0741","QN",10164,46,412,"254","1002","28",27,11433,"E275",103,44,3400,"4","12","3D","165-18 TUSKEGEE AIRMEN WAY","M1-1","","","","","","","","","","N","T9","07",0,"P","NYC TRANSIT",114000,58000,58000,0,0,0,0,0,0,58000,"2",2,1,0,0,158,892,100,580,"E","0","Y","3","5",769500,2191050,769500,2191050,1957,0,0,"","",0.51,0,1,2.4,4,4101640046,0,"0254",1042290,194616,"14d","","407 049","44501","E-39",0,"","1","","","17V1.1",0,2068.45589749,122503.126475
34166,"01060000203E9101000100000001030000000100000008000000008E75B18CF82E4100460378E7FD0A410095D44999F82E4100DE93875CFC0A4100C8987B70F82E4100F6285CA9FA0A410048503C05F82E4100A2D6346DFB0A4180AA601458F82E41009E8026C6FE0A4180C2F5E867F82E41008CDB6888FE0A418003E70C82F82E41001C7C6118FE0A41008E75B18CF82E4100460378E7FD0A41","QN",926,102,480,"329","","30",22,11370,"E316",115,42,620,"4","03","1D","FLUSHING AVENUE","M1-1","","","","","","","","","","N","T9","07",0,"C","NYC DSBS",7200,0,0,0,0,0,0,0,0,0,"7",0,0,0,0,30,130,0,0,"","0","Y","5","5",101250,101250,101250,101250,0,0,0,"","",0,0,1,2.4,4,4009260102,0,"0329",0,0,"9c","","410 093","40701","",0,"","1","1","1","17V1.1",0,319.975310187,5626.44638819
37294,"01060000203E910100010000000103000000010000001E00000080832F0C1C702F41008026C2901E0B41002AA95317702F4100B6A679721E0B41805BB1FF12702F4100CAE53F4B1E0B41806210580F702F4100F697DD271E0B4180081B9E07702F41002ACB10FC1D0B418072F9CFE96F2F410060764FEF1C0B418019E2D8D36F2F41004E40132E1C0B4100BBB88DB96F2F4100C876BE881B0B41800D4FEFA06F2F4100645DDCDD1A0B4180529661926F2F4100024D84981A0B4100D656EC866F2F4100304CA6621A0B4100355E7A7D6F2F41003AB4C82C1A0B4100ECC039736F2F4100B22E6EFE190B4180AF94E5426F2F4100AA82514B190B4180FB3A30256F2F41006E1283EE180B4180847C101E6F2F4100343333D3180B41003C4E91106F2F4100DE020988180B4180F4DB57F06E2F4100E4F21FAD170B4100F01688E96E2F4100244A7B88170B41000DE02DE76E2F41007A58A876170B4180A67987E26E2F41006054524E170B4100583934E06E2F410044FAED2B170B4100BD5256DD6E2F410068446918170B4180CA3284CE6E2F4100E2C798D0160B4100F853E3B06E2F41005C8FC247160B4180C95481386E2F41000022FD341C0B418009F9A0B96D2F41002C431C55220B41808B6C67156E2F410042AD6956220B4100560E6D19702F41007E8CB95D220B4180832F0C1C702F41008026C2901E0B41","QN",4278,19,407,"907","1001","25",19,11354,"L130",109,43,1200,"4","07","5E","25-05 LINDEN PLACE","M2-1","","","","","","CP","","","","N","T1","07",0,"C","NYC DSBS",73860,5450,5450,0,650,0,4800,0,0,0,"2",1,1,0,1,376.42,259.67,60,80,"","0","Y","5","5",328950,395100,328950,395100,1930,0,0,"","",0.07,0,2,0,4,4042780019,0,"0907",1030014,222145,"10a","","405 065","42202","",0,"","1","1","1","17V1.1",0,1155.76540634,71943.3140187
45132,"01060000203E91010001000000010300000001000000070000000077BEDF79102F4100AA82512E28094180029A88E9102F41005C2041622609410083C0CA26102F41005AD3BCD8270941002428BE36102F41005A423E1628094180CFD55656102F41000612149028094180FB3A705C102F4100BE3099A72809410077BEDF79102F4100AA82512E280941","QN",2879,148,404,"479","","24",25,11373,"E287",110,42,1410,"4","04","1D","56 AVENUE","R4","","","","","","","","","","N","T9","07",0,"X","LIRR",1554,0,0,0,0,0,0,0,0,0,"7",0,0,0,0,35,22,0,0,"","0","Y","5","5",13050,13050,13050,13050,0,0,0,"","",0,0.9,0,2,4,4028790148,0,"0479",0,0,"13c","","409 073","41504","",0,"","1","","","17V1.1",0,246.575384004,1886.69284414
77726,"01060000203E91010001000000010300000001000000060000008072F98F0C6E2F41005405A3272F0B41808B6C67156E2F410042AD6956220B418009F9A0B96D2F41002C431C55220B4180DE710A5A6D2F4100B81E85F2260B4180D85FF6916C2F41003A014D8C300B418072F98F0C6E2F41005405A3272F0B41","QN",4238,1,407,"907","1001","25",19,11354,"L130",109,43,1200,"4","07","5E","23-87 LINDEN PLACE","M2-1","","","","","","CP","","","","N","T1","07",0,"C","NYC DSBS",46300,4800,4800,0,0,0,4800,0,0,0,"2",1,1,0,1,435,24.33,60,80,"E","0","Y","5","5",206100,249750,206100,249750,1930,0,0,"","",0.1,0,2,0,4,4042380001,0,"0907",1029829,222542,"10a","","405 062","42202","",0,"","1","1","1","17V1.1",0,1128.86145631,49126.5699192
94897,"01060000203E910100010000000103000000010000001100000080438BAC96652F4100D88173C0010B4180B81E4597662F410046037896F70A4100C6DC7574652F41007C832FC6F70A41804E401375652F4100C4B12E0EF80A4180DE71CA10652F41005405A31EF80A41008D282D10652F4100E63FA4D6F70A4100F628DCAF632F41006ABC7410F80A4180559FABB6632F410004341174F70A4100022BC798632F4100EE5A4279F70A4100F1F44A88632F4100DEE00B5FF80A4180D6346FA8632F41008204C559F80A4100575B31C9632F41005EBA4946050B4100022B47FF642F4100645DDC0E050B4100DCD78140652F41001A51DA5C050B4180EC9EFC36652F410052DA1BFA020B41002FDDA48E652F410066886381FF0A4180438BAC96652F4100D88173C0010B41","QN",4300,1,407,"907","1045","25",19,11354,"L130",109,43,1200,"4","07","5E","26-02 129 STREET","M2-1","","","","","","CP","","","","N","T9","07",0,"C","NEW YORK CITY TRANSIT",102500,25720,25720,0,0,0,0,25720,0,0,"2",2,2,0,0,345,455,130,104,"","0","Y","5","5",1138050,3328200,1138050,3328200,1993,0,0,"","",0.25,0,2,0,4,4043000001,0,"0907",1028714,221107,"10a","","405 014","42203","",4043000001,"10/01/1991","1","1","1","17V1.1",0,1691.47153328,116122.346952
137440,"01060000203E910100010000000103000000010000000500000080802642BC8C2E41008816D94CCA094180105839208C2E41003C4ED10CC8094100917EFBF38B2E410056EC2F85C9094180105839AB8C2E4100226C78DDCA094180802642BC8C2E41008816D94CCA0941","QN",266,1,402,"19","1076","30",26,11101,"E258",108,41,720,"4","02","2A","43-19 DUTCH KILLS STREET","M1-5/R9","","","","","","LIC","","","","N","T9","07",0,"X","LIRR",3489,1190,1190,0,0,0,0,0,0,1190,"2",1,3,0,1,49.08,100,17,35,"","0","Y","5","5",46800,76950,46800,76950,1900,0,0,"","",0.34,8,8,8,4,4002660001,0,"0019",1001001,211249,"9b","","401 024","40203","",0,"","1","","","17V1.1",0,279.361625233,3643.01902959
